Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad,Redes de Alianza
Tren interurbano México-Toluca “El insurgente”,"Tren interurbano México-Toluca ""El insurgente""",Transporte,Ferrocarriles,Greenfield,Pesos mexicanos MXN,,,Construcción,,"El proyecto contempla una infraestructura ferroviaria compuesta por una doble vía férrea electrificada de 57.8 km, en viaducto elevado, con origen en la Terminal Observatorio en el poniente de la ciudad de México, y destino en la Terminal Zinacantepec en el Valle de Toluca, con cinco estaciones intermedias, taller y cocheras en Zinacantepec, así como equipo ferroviario que incluye 30 trenes de cinco vagones, con capacidad para 750 pasajeros, velocidad máxima de 160 km/h y promedio de 90 km/h y un tiempo de recorrido de 39 minutos.",Público,Obra Pública Tradicional,,Licitación Pública,,,,,,,,,Ejecución,,,,"Ciudad de México,Estado de México","Secretaría de Infraestructura, Comunicaciones y Transportes",false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/tren-mexico-toluca/,Vía doble electrificada,"57,8",km,,,,,,,,,,,,,,,
Corredor Interoceánico del Istmo de Tehuantepec,Corredor Interoceánico del Istmo de Tehuantepec,Transporte,Puertos,Greenfield,Pesos mexicanos MXN,,,false,,"El Programa, como uno de los instrumentos orientados a generar las condiciones que detonen el crecimiento económico y social en el Istmo de Tehuantepec y el Sur-Sureste del país, busca restablecer el bienestar de la población de la región, conformada por 79 municipios: 46 pertenecientes al Estado de Oaxaca y 33 al Estado de Veracruz. Su eje será el Corredor Multimodal Interoceánico, que aprovechará la posición del Istmo para competir en los mercados mundiales de movilización de mercancías, a través del uso combinado de diversos medios de transporte. En este marco se modernizará el ferrocarril del Istmo de Tehuantepec, los puertos de Coatzacoalcos, Veracruz, y Salina Cruz, Oaxaca, para que puedan ofrecer servicios de carga, transporte, almacenaje, embalaje y servicios 54 logísticos diversos; se fortalecerá la infraestructura carretera y de caminos rurales y la red aeroportuaria y se construirá un gasoducto para abastecer a empresas y consumidores domésticos. A lo largo del recorrido entre ambos océanos se crearán zonas libres para atraer inversiones del sector privado, las cuales se dotarán de infraestructura y se garantizará el abasto de energía, agua, conectividad digital y otros insumos básicos para cubrir las necesidades de las empresas y de la población trabajadora.",Público,Obra Pública Tradicional,,,,,,,,,,,Ejecución,,,,"Oaxaca,Veracruz",Corredor Interoceánico del Istmo de Tehuantepec,false,El día 30 de septiembre se incorporó el documento Informe de Gestión Gubernamental del CIIT 2024 en la sección de Comunicados.,https://www.proyectosmexico.gob.mx/proyecto_inversion/corredor-interoceanico-del-istmo-de-tehuantepec/,Instalación Portuaria,1,,,,,,,,,,,,,,,,
1038 CFE: Soporte de Tensión para la Región Mesteñas P20-NT1,"OBRAS DE AMPLIACIÓN PARA 3 SUBESTACIONES ELÉCTRICAS, EN EL ESTADO DE CHIHUAHUA.",Electricidad,Transmisión / Distribución,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Ampliación,Equipamiento",,"Contrato de obra llave en mano a previo alzado para realizar el proyecto, el cual está integrado por tres obras de subestaciones: - Subestación de distribución Oasis. Esta subestación es una instalación actualmente en operación. La obra de ampliación consiste en un compensador síncrono estático (STATCOM) de 40 MVAr capacitivos y 40 MVAr inductivos a instalarse en el nivel de tensión de 115 kV. El arreglo de barras en el nivel de 115 kV es barra principal. - Subestación de transmisión Mesteñas. Esta subestación es una instalación actualmente en operación. La obra de ampliación consiste en la adición de un banco de capacitores de 30 MVAr conectado en la barra principal de 115 kV. El arreglo de barras en el nivel de 115 kV es barra principal + barra auxiliar con interruptor de amarre o transferencia. - Subestación de distribución El trébol. Esta subestación es una instalación actualmente en operación. La obra de ampliación consiste en la adición de un banco de capacitores de 15 MVAr conectado en la barra principal de 115 kV. El arreglo de barras en el nivel de 115 kV es barra principal. Dentro de los alcances del proyecto se encuentran los siguientes conceptos: suministro de equipos y materiales de instalación permanente, desarrollo de la ingeniería asociada a los conceptos de diseño electromecánico y civil, ejecución de las obras electromecánica y civil, realización de pruebas preoperativas, así como la elaboración, análisis y evaluación de los estudios requeridos (estudios geotécnicos, levantamientos topográficos y resistividad) y la impartición de programas de capacitación y entrenamiento. Contenido nacional del proyecto: - al menos 90% de mano de obra de origen nacional, - como máximo el 47.10% en materiales y equipo de instalación permanente utilizados en la ejecución de los trabajos. La CFE otorgará un anticipo del 30% del monto total del contrato.",Público,Obra Pública Tradicional,,Licitación Pública Nacional,,19/11/2025,05/01/2026,21/01/2026,18/02/2026,19/02/2026,,01/09/2027,Licitación,Elaboración de Propuesta,,,Chihuahua,Comisión Federal de Electricidad,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1038-cfe-soporte-de-tension-region-mestenas/,Estación/ Subestación Eléctrica,80,MVAr,,Estación/ Subestación Eléctrica,30,MVAr,,Estación/ Subestación Eléctrica,15,MVAr,,,,,,,
1037 CFE: 362 Subestación eléctrica refuerzo de la red de la zona Piedras Negras,"Obra de ampliación para la Subestación de transmisión Los novillos, Zona Piedras Negras, en el estado de Coahuila.",Electricidad,Transmisión / Distribución,Greenfield,Dólares americanos USD,,,"Ampliación,Equipamiento,Instalación",,"Obra de llave en mano a precio alzado para realizar el proyecto, el cual se integra por los trabajos consistentes principalmente en una obra de subestaciones con tensión de 23/138/13.8 kV, con una capacidad total de 225 MVA de transformación. La subestación de transmisión Los Novillos es una instalación actualmente en operación. Dentro de los alcances del proyecto se encuentran los siguientes conceptos: suministro de equipos y materiales de instalación permanente, desarrollo de la ingeniería asociada a los conceptos de diseño electromecánico y civil, ejecución de las obras electromecánica y civil, realización de pruebas preoperativas, así como la elaboración, análisis y evaluación de los estudios requeridos (estudios geotécnicos, levantamientos topográficos y resistividad) y la impartición de programas de capacitación y entrenamiento. Contenido nacional del proyecto: - al menos 90% de mano de obra de origen nacional, - cuando menos del 18.62% sobre el valor total del proyecto. La CFE no otorgará ningún anticipo ni efectuará pago alguno durante el periodo de ejecución del proyecto.",Público,Obra Pública Tradicional,,Licitación Pública Internacional,,13/11/2025,15/01/2026,09/02/2026,09/03/2026,10/03/2026,,05/03/2027,Licitación,Elaboración de Propuesta,,,Coahuila,Comisión Federal de Electricidad,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1037-cfe-362-se-refuerzo-red-zona-piedras-negras/,Banco de Transformación,225,MVA,,,,,,,,,,,,,,,
1036 Línea 4 del Cablebús de la Ciudad de México,proyecto integral para la construcción de la línea 4 TLALPAN - COYOACÁN del Sistema de Transporte Público Cablebús DE la Ciudad de México.,Transporte,Movilidad Urbana,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Equipamiento",Si,"El Proyecto Integral a precio alzado y tiempo determinado, para la construcción de la Línea 4 Tlalpan-Coyoacán del Sistema de Transporte Público Cablebús de la Ciudad de México incluye de manera enunciativa más no limitativa: -Estudios y análisis -Coadyuvar con el proceso de liberación del derecho de vía -Proyecto ejecutivo -Construcción de obra civil -Acabados e instalaciones en estaciones y exteriores -Obras inducidas -Instalaciones especiales -Sistema electromecánico -Certificación -Puesta en servicio del sistema electromecánico La Línea 4 del Cablebús contempla ocho estaciones y una longitud aproximada de 11.4 km. Para conocer la descripción detallada del proyecto, se pueden consultar los documentos de la licitación en la sección de Más Información.",,Obra Pública Tradicional,3 Años,Licitación Pública Nacional,,31/10/2025,20/11/2025,27/11/2025,,08/12/2025,,08/12/2028,Licitación,Revisión de Propuesta,,,Ciudad de México,Gobierno de la Ciudad de México,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1036-linea-4-del-cablebus-de-la-ciudad-de-mexico/,Estaciones,,,,,,,,,,,,,,,,,
1035 Trolebús Ixtapaluca,"PROYECTO INTEGRAL PARA LA CONSTRUCCIÓN DEL TROLEBÚS EN IXTAPALUCA, EN EL ESTADO DE MÉXICO.",Transporte,Movilidad Urbana,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción",,"El proyecto integral consiste en realizar el proyecto ejecutivo de todas las disciplinas y especialidades, la obra civil y obra electromecánica a lo largo del trazo de la línea del Trolebús Ixtapaluca, ejecución de los trabajos que comprenderán desde el entronque con la actual Línea 11 del Trolebús Sta. Marta-Chalco, continuando el trazo por la antigua Autopista México-Puebla, con Av. Sta. Bárbara y Av. Hda. Corralejo, hacia Carretera Federal México-Puebla, y al cruce con la Av. San Buenaventura donde se construirá la Estación Terminal y un paradero con tres bahías para el transporte público de la zona. El área sobre la cual se realizará la obra tendrá una longitud aproximada de 10.10 km, los tramos se dividirán en 6 sectores con la propuesta de 12 estaciones tipo, incluyendo la estación Terminal en San Buenaventura, trabajos de adecuaciones para conexión con la Línea 11 del Trolebús Chalco - Santa Marta y un paradero con las bahías necesarias en el espacio existente, para las rutas de transporte público. El proyecto incluye los trabajos de adecuación en la zona de las gasas Norte y Sur que se encuentran en la Estación Terminal “Constitución de 1917” de la línea 10 del trolebús elevado. Para conocer la descripción detallada del proyecto, se pueden consultar los documentos de la licitación en la sección de Más Información.",,Obra Pública Tradicional,,Licitación Pública Nacional,,28/10/2025,25/11/2025,08/12/2025,,15/12/2025,,07/06/2027,Licitación,Revisión de Propuesta,,,Estado de México,"Secretaría de Infraestructura, Comunicaciones y Transportes",false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1035-trolebus-ixtapaluca/,Estaciones,,,,,,,,,,,,,,,,,
1034 Terminal Especializada en Graneles Minerales en la zona sur del Puerto de Guaymas,"USO, APROVECHAMIENTO Y EXPLOTACIÓN DE UNA TERMINAL ESPECIALIZADA EN GRANELES MINERALES EN EL PUERTO DE GUAYMAS, ESTADO DE SONORA.",Transporte,Puertos,Greenfield,Pesos mexicanos MXN,,,"Operación,Explotación",,"El proyecto consiste en: i) El uso, aprovechamiento y explotación de una superficie terrestre total de 13,860 m2, conformada por un almacén techado en una superficie de 7,150 m2 y un patio de operaciones a cielo abierto de 6,710 m2, que debe destinarse para la operación de una instalación portuaria especializada, de uso público, para el manejo de graneles minerales (instalación), ubicada en la zona sur del recinto portuario del Puerto de Guaymas, ii) Proporcionar el servicio de maniobras.",Público / Privado,Cesión Parcial de Derechos,15 Años,Licitación Pública Internacional,,16/10/2025,20/03/2026,31/03/2026,,,,,Licitación,Elaboración de Propuesta,,,Sonora,Secretaría de Marina,false,La cesión tendrá la posibilidad de que se prorrogue hasta por 15 años más.,https://www.proyectosmexico.gob.mx/proyecto_inversion/1034-te-en-graneles-minerales-en-sur-del-puerto-de-guaymas/,Terminal Portuaria,13860,m2,,,,,,,,,,,,,,,
1033 Proyecto Turístico Integral en el Puerto de Acapulco,"Uso, aprovechamiento y explotación de una terminal de cruceros, muelle y áreas de esparcimiento en el puerto de acapulco, estado de guerrero.",Inmobiliario y Turismo,Turismo,Brownfield,Pesos mexicanos MXN,,,"Ampliación,Modernización,Explotación",,"El proyecto consiste en el uso, aprovechamiento y explotación de una superficie federal terrestre de 17,119.02 m² de uso público en el Puerto de Acapulco, conformada por: i) 12,350 m² para la modernización y ampliación de una terminal de cruceros y ampliación del muelle; ii) 4,769.02 m² para establecer un área de esparcimiento y albercas naturales, colindante a la Costera Miguel Alemán. - El cesionario podrá estar recibiendo las embarcaciones en el muelle actual de uso público (común), de la terminal de cruceros turísticos, para el atraque y desatraque de las embarcaciones turísticas y el embarque desembarque de pasajeros, mientras la ASIPONA construye el nuevo muelle. - La ASIPONA construye el nuevo muelle de la terminal de cruceros turísticos con recursos propios.",Público / Privado,Cesión Parcial de Derechos,24 Años,Licitación Pública Internacional,,20/10/2025,20/02/2026,05/03/2026,,,,,Licitación,Elaboración de Propuesta,,,Guerrero,Secretaría de Marina,false,Concurso público: ASIPONA/ACAPULCO/PROYECTO-TURISTICO-INTEGRAL/01/25. La cesión tendrá la posibilidad de que se prorrogue hasta por 24 años más.,https://www.proyectosmexico.gob.mx/proyecto_inversion/1033-proyecto-turistico-integral-en-el-puerto-de-acapulco/,Terminal Portuaria,,,,Muelle,,,,,,,,,,,,,
1032 Línea 6 del Cablebús de la Ciudad de México,proyecto integral para la construcción de la línea 6 MILPA ALTA - TLÁHUAC del Sistema de Transporte Público Cablebús DE la Ciudad de México.,Transporte,Movilidad Urbana,Greenfield,Pesos mexicanos MXN,,,false,,"Proyecto integral para la construcción de la línea 6 Milpa Alta - Tláhuac del Sistema de Transporte Público Cablebús de la Ciudad de México. - Se otorgarán anticipos para inicio de los trabajos, así como para la adquisición de material y equipo de instalación permanente. - La adquisición de las bases se realiza en la oficina de la Dirección de Ingeniería de Costos y Contratos de Obras para el Transporte, conforme a lo establecido en la convocatoria disponible en la sección de Más información.",Público,Obra Pública Tradicional,3 Años,Licitación Pública Nacional,,27/10/2025,20/11/2025,26/11/2025,,29/11/2025,,28/11/2028,Licitación,,,,Ciudad de México,Gobierno de la Ciudad de México,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1032-linea-6-del-cablebus-de-la-ciudad-de-mexico/,,,,,,,,,,,,,,,,,,
1031 Línea 5 del Cablebús de la Ciudad de México,PROYECTO INTEGRAL PARA LA CONSTRUCCIÓN de la línea 5 Magdalena Contreras - Álvaro Obregón del Sistema de Transporte Público Cablebús DE la Ciudad de México.,Transporte,Movilidad Urbana,Greenfield,Pesos mexicanos MXN,,,false,,"Proyecto integral para la construcción de la línea 5 Magdalena Contreras - Álvaro Obregón del Sistema de Transporte Público Cablebús de la Ciudad de México. - Se otorgarán anticipos para inicio de los trabajos, así como para la adquisición de material y equipo de instalación permanente. - La adquisición de las bases se realiza en la oficina de la Dirección de Ingeniería de Costos y Contratos de Obras para el Transporte, conforme a lo establecido en la convocatoria disponible en la sección de Más información.",Público,Obra Pública Tradicional,4 Años,Licitación Pública Nacional,,27/10/2025,19/11/2025,25/11/2025,,28/11/2025,,28/05/2029,Licitación,,,,Ciudad de México,Gobierno de la Ciudad de México,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1031-linea-5-del-cablebus-de-la-ciudad-de-mexico/,,,,,,,,,,,,,,,,,,
